	percentage	ssgsea_score_STD	Case
0	0	0.8297264605925345	RS0164
1	1	1.4098270733334781	RS0164
2	2	1.2413045871539967	RS0164
3	3	0.9223597055496386	RS0164
4	4	1.548719704066101	RS0164
5	5	2.951964566982965	RS0164
6	6	2.555220737977039	RS0164
7	7	3.2527116813221757	RS0164
8	8	1.086639012173805	RS0164
9	9	2.117991974764132	RS0164
10	10	2.3863494389674385	RS0164
11	11	2.0114334473521462	RS0164
12	12	2.627557039127502	RS0164
13	13	3.2426665790270017	RS0164
14	14	2.6538095328134754	RS0164
15	15	8.1651571842442	RS0164
16	16	2.027429835932324	RS0164
17	17	3.7722965799881014	RS0164
18	18	5.877159698297074	RS0164
19	19	3.1088032396769623	RS0164
20	20	10.364134045979071	RS0164
21	21	12.344488173707784	RS0164
22	22	11.57140352662724	RS0164
23	23	3.456568048494263	RS0164
24	24	7.373130965456044	RS0164
25	25	2.049892129876851	RS0164
26	26	13.292532001276426	RS0164
27	27	4.76209617819867	RS0164
28	28	19.75376080147636	RS0164
29	29	17.099268574945224	RS0164
30	30	5.436635702349459	RS0164
31	31	7.312063524298787	RS0164
32	32	10.63088696658582	RS0164
33	33	2.423866742819642	RS0164
34	34	3.468484188743476	RS0164
35	35	22.283048816101314	RS0164
36	36	8.821872356699304	RS0164
37	37	10.464280593334978	RS0164
38	38	31.023586514049764	RS0164
39	39	10.333856313001277	RS0164
40	40	7.857728126404988	RS0164
41	41	11.342063430039037	RS0164
42	42	10.348420603846662	RS0164
43	43	27.18876746252043	RS0164
44	44	4.893605747441117	RS0164
45	45	14.012652998891529	RS0164
46	46	6.5719418503005915	RS0164
47	47	20.8933039557847	RS0164
48	48	13.144159737640233	RS0164
49	49	6.567571511473256	RS0164
50	50	19.14546172631348	RS0164
51	51	24.0227868454406	RS0164
52	52	16.44492263970698	RS0164
53	53	12.871081031423516	RS0164
54	54	10.80289653599037	RS0164
55	55	8.846373220484274	RS0164
56	56	14.046587921397531	RS0164
57	57	23.100478466991184	RS0164
58	58	16.966311019343056	RS0164
59	59	13.33841532661644	RS0164
60	60	24.06666469176505	RS0164
61	61	6.210659999473807	RS0164
62	62	38.719204984294784	RS0164
63	63	22.34995507756939	RS0164
64	64	21.770831806946713	RS0164
65	65	20.523620151886156	RS0164
66	66	28.189787988936555	RS0164
67	67	34.013475332537595	RS0164
68	68	13.919539081747757	RS0164
69	69	17.714636044482102	RS0164
70	70	39.62302204505599	RS0164
71	71	29.907858350623123	RS0164
72	72	25.20729502218206	RS0164
73	73	16.100440547514122	RS0164
74	74	14.956761179585662	RS0164
75	75	20.72437698319804	RS0164
76	76	20.86609405686726	RS0164
77	77	21.941422772888753	RS0164
78	78	27.566738370697717	RS0164
79	79	28.496198464942466	RS0164
80	80	28.837486756699807	RS0164
81	81	19.006488448295563	RS0164
82	82	16.505145188808704	RS0164
83	83	15.67769028348803	RS0164
84	84	47.73108492903016	RS0164
85	85	43.65304602382932	RS0164
86	86	30.938885457621762	RS0164
87	87	34.914545335882394	RS0164
88	88	51.64440248602269	RS0164
89	89	27.871695671724474	RS0164
90	90	46.99690649385551	RS0164
91	91	43.7470306948803	RS0164
92	92	42.00539886188401	RS0164
93	93	35.05179899167187	RS0164
94	94	33.8535596420794	RS0164
95	95	52.18375275079784	RS0164
96	96	46.17309600588946	RS0164
97	97	52.5016465616017	RS0164
98	98	46.27969585436148	RS0164
99	0	3.167261889985096	RS0167
100	1	3.168575357525743	RS0167
101	2	2.941683336691313	RS0167
102	3	2.4585918208916198	RS0167
103	4	2.6237390056120935	RS0167
104	5	3.8691518440454074	RS0167
105	6	3.0505546312103258	RS0167
106	7	2.2686305338856236	RS0167
107	8	2.3252200195870985	RS0167
