	percentage	ssgsea_score_STD	Case
0	0	5.586834490730839	RS0004
1	1	5.691407512474836	RS0004
2	2	5.741334432017212	RS0004
3	3	5.728617787060406	RS0004
4	4	6.55158120510035	RS0004
5	5	5.993121600702593	RS0004
6	6	4.723332926238286	RS0004
7	7	5.04815492314972	RS0004
8	8	5.054017582734145	RS0004
9	9	4.490291926687223	RS0004
10	10	4.590325644183342	RS0004
11	11	4.285457419018636	RS0004
12	12	5.153841743225598	RS0004
13	13	3.326665572632684	RS0004
14	14	4.007219576696824	RS0004
15	15	2.5253901161650023	RS0004
16	16	2.6225934240757955	RS0004
17	17	3.109589781109304	RS0004
18	18	4.1513425888030255	RS0004
19	19	3.2161959232677613	RS0004
20	20	3.734619427332267	RS0004
21	21	3.188522532394934	RS0004
22	22	4.18174721763142	RS0004
23	23	3.97507913814381	RS0004
24	24	4.069098495629078	RS0004
25	25	2.916755043050368	RS0004
26	26	3.5828872472617177	RS0004
27	27	2.614966297100492	RS0004
28	28	3.939152064223167	RS0004
29	29	4.2434108050376675	RS0004
30	30	3.93731710552994	RS0004
31	31	3.948351670308624	RS0004
32	32	4.021976909798323	RS0004
33	33	4.1749863550566495	RS0004
34	34	4.108018183140813	RS0004
35	35	4.974196144509515	RS0004
36	36	4.843861300089286	RS0004
37	37	4.100524533000443	RS0004
38	38	4.438823056580121	RS0004
39	39	4.340613842102557	RS0004
40	40	4.551364421272938	RS0004
41	41	3.784025622417007	RS0004
42	42	4.86699022910327	RS0004
43	43	4.36352919239383	RS0004
44	44	3.612551035034571	RS0004
45	45	4.505680778627844	RS0004
46	46	4.561453933128703	RS0004
47	47	4.49291502422709	RS0004
48	48	5.094575367054322	RS0004
49	49	4.781165728903404	RS0004
50	50	4.948051462133605	RS0004
51	51	5.2451623931645415	RS0004
52	52	4.2669568370094	RS0004
53	53	6.096256549753661	RS0004
54	54	4.860705901682257	RS0004
55	55	4.870276498168703	RS0004
56	56	5.168485374881921	RS0004
57	57	4.873173278517239	RS0004
58	58	4.683162940228418	RS0004
59	59	5.629900144364049	RS0004
60	60	5.142803155081966	RS0004
61	61	5.317557591819249	RS0004
62	62	4.229913966668069	RS0004
63	63	4.841565840081296	RS0004
64	64	5.2611414141522985	RS0004
65	65	5.478047441229667	RS0004
66	66	4.548622284552456	RS0004
67	67	4.4939687695361865	RS0004
68	68	5.641045303414579	RS0004
69	69	5.180161332170626	RS0004
70	70	5.245236856945394	RS0004
71	71	5.009864887454675	RS0004
72	72	5.324705534129507	RS0004
73	73	5.077820925689419	RS0004
74	74	5.831603866267847	RS0004
75	75	5.331867509592208	RS0004
