	percentage	ssgsea_score_STD	Case
0	0	5.586834490730839	RS0004
1	1	6.398453406525891	RS0004
2	2	5.223544463967526	RS0004
3	3	3.400409529715285	RS0004
4	4	7.573570652692319	RS0004
5	5	3.9255525407003002	RS0004
6	6	2.4301316174238994	RS0004
7	7	7.23247186752891	RS0004
8	8	2.6290408237364935	RS0004
9	9	2.8836109877252367	RS0004
10	10	3.393765404555205	RS0004
11	11	7.004616384810138	RS0004
12	12	4.827090291517351	RS0004
13	13	4.452047287650956	RS0004
14	14	6.8928389089117506	RS0004
15	15	7.209641028033883	RS0004
16	16	8.758136827064835	RS0004
17	17	8.420084084675464	RS0004
18	18	8.883413183816202	RS0004
19	19	11.536946720644139	RS0004
20	20	7.565314305409944	RS0004
21	21	8.16977021259256	RS0004
22	22	13.0551791534519	RS0004
23	23	9.769884235914862	RS0004
24	24	13.466330761107999	RS0004
25	25	8.647938016136735	RS0004
26	26	17.140540193210605	RS0004
27	27	14.2810656887068	RS0004
28	28	12.45414479926171	RS0004
29	29	17.70418550724308	RS0004
30	30	18.242980342223273	RS0004
31	31	18.080549406063202	RS0004
32	32	18.92972816482464	RS0004
33	33	18.741451433363324	RS0004
34	34	14.263019134730504	RS0004
35	35	26.91396794929848	RS0004
36	36	20.552794915413823	RS0004
37	37	27.313380744157538	RS0004
38	38	22.681836137284677	RS0004
39	39	20.10222456951863	RS0004
40	40	26.306781686954952	RS0004
41	41	23.51714465293643	RS0004
42	42	20.11530112224679	RS0004
43	43	32.306329041998296	RS0004
44	44	24.38465787583243	RS0004
45	45	26.10339082648141	RS0004
46	46	36.01100931228493	RS0004
47	47	31.84771116033965	RS0004
48	48	33.45182218414983	RS0004
49	49	41.36138423442349	RS0004
50	50	33.49357891211717	RS0004
51	51	28.289896320453522	RS0004
52	52	43.49717060566338	RS0004
53	53	33.60760051147991	RS0004
54	54	51.53313263384667	RS0004
55	55	30.668253772693607	RS0004
56	56	44.759541694964305	RS0004
57	57	41.82419673838022	RS0004
58	58	46.36813641853107	RS0004
59	59	46.48159024507077	RS0004
60	60	50.98379675848967	RS0004
61	61	49.41431838849106	RS0004
62	62	50.033260004081534	RS0004
63	63	41.84267936593335	RS0004
64	64	40.723017955424936	RS0004
65	65	81.88696519618921	RS0004
66	66	65.20485771467955	RS0004
67	67	57.23691728821003	RS0004
68	68	44.20503166808343	RS0004
69	69	56.30387482697395	RS0004
70	70	47.9456536067821	RS0004
71	71	67.99057464894985	RS0004
72	72	66.44527009794798	RS0004
73	73	59.68833969640494	RS0004
74	74	91.51635758705746	RS0004
75	75	67.88016970429125	RS0004
76	76	56.41918323850938	RS0004
77	77	86.80092372350292	RS0004
78	78	62.970585062571814	RS0004
79	79	71.8480337717699	RS0004
80	80	80.30008043239391	RS0004
81	81	58.99356627005641	RS0004
82	82	63.90574568763278	RS0004
83	83	64.37678361472857	RS0004
84	84	74.28150098184064	RS0004
85	85	91.08586227227211	RS0004
86	86	83.66726521870815	RS0004
87	87	102.9078720743417	RS0004
88	88	91.47854410947319	RS0004
89	89	108.62485485146345	RS0004
90	90	88.66533484858994	RS0004
91	91	127.17729880990015	RS0004
92	92	89.75335548544	RS0004
93	93	81.22017110680434	RS0004
94	94	65.23084615317337	RS0004
95	95	94.7634102187064	RS0004
96	96	115.82566014171488	RS0004
97	97	89.24966021517207	RS0004
98	98	83.87372841823887	RS0004
99	0	7.385473339975735	RS0005
100	1	6.155682543130923	RS0005
101	2	7.950305155194666	RS0005
102	3	6.513063597824148	RS0005
103	4	7.986515993678908	RS0005
104	5	6.790292943073125	RS0005
105	6	9.573825410186252	RS0005
106	7	7.362359952706826	RS0005
