Run	Sample	Dataset	Table	Hypoxia_state	Cell_type_new	Cell_type	Cell_type_details	Extended_details	Stimulation	Therapy	Modification	Diagnosis	GSM	Sorting_markers	Comment	Cell_origin	Rna_extraction_kit	Library_preparation_kit	Cells_isolation_kit	Donor_id	Gender	Age	Age_range	PMID	Material_type	Layout	Readcounts	To_check	QC_bad	QC_good	QC_score	Who_checks	Decision	Expression_comment	Run_id	Sample_id	Run_tiledb_id	Sample_tiledb_id	Spike_in	Response	Material_sampling_time	Only for target (CR type)	Prior_surgery	Adverse_event	Diagnosis_comment	Stage	Combo_class	Measurement_method	Race/Ethnicity	UMI (Only for target)	Deconvolution_cell_type	Filter_tag	Filter_tag
SRR1959049	SRX984340	GSE60217	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	HUVEC		Hour_24_of_hypoxia	Without_therapy	Without_modification	Healthy	GSM1654556			Blood_vessel	miRNeasy Mini Kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		No_data	No_data	No_data		27595325	polyA RNA	PAIRED	25411815				5.75	a_zotova	ok	250621 checked																	Endothelium		
SRR1959050	SRX984341	GSE60217	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	HUVEC		Hour_24_of_hypoxia	Without_therapy	Without_modification	Healthy	GSM1654559			Blood_vessel	miRNeasy Mini Kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		No_data	No_data	No_data		27595325	total RNA	PAIRED	24904844				6	a_zotova	ok	250621 checked																	Endothelium		
SRR1959051	SRX984342	GSE60217	Cells	Control	Endothelium	Endothelium	HUVEC		Without_stimulation	Without_therapy	Without_modification	Healthy	GSM1654561			Blood_vessel	miRNeasy Mini Kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		No_data	No_data	No_data		27595325	total RNA	PAIRED	25773227				5	a_zotova	ok	250621 checked																	Endothelium		
SRR1959052	SRX984343	GSE60217	Cells	Control	Endothelium	Endothelium	HUVEC		Without_stimulation	Without_therapy	Without_modification	Healthy	GSM1654563			Blood_vessel	miRNeasy Mini Kit (Qiagen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		No_data	No_data	No_data		27595325	total RNA	PAIRED	25288693				5	a_zotova	ok	250621 checked																	Endothelium		
SRR3096872	SRX1527119	GSE76743	Cells	Control	Endothelium	Endothelium	HUVEC		Without_stimulation	Without_therapy	Without_modification	Healthy	GSM2037122			Blood_vessel	TRIzol™ Reagent (Invitrogen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		No_data	No_data	No_data		27063004	polyA RNA	PAIRED	1.13E+08			обрезать до 80 bp	5.5	a_zotova	ok	250621 checked	1720	1086	2807	2806													Endothelium		
SRR3096873	SRX1527120	GSE76743	Cells	Control	Endothelium	Endothelium	HUVEC		Without_stimulation	Without_therapy	Without_modification	Healthy	GSM2037123			Blood_vessel	TRIzol™ Reagent (Invitrogen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		No_data	No_data	No_data		27063004	polyA RNA	PAIRED	49725030			обрезать до 80 bp	5.5	a_zotova	ok	250621 checked	1718	1084	2803	2802													Endothelium		
SRR3096874	SRX1527121	GSE76743	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	HUVEC		Hour_24_of_hypoxia	Without_therapy	Without_modification	Healthy	GSM2037124			Blood_vessel	TRIzol™ Reagent (Invitrogen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		No_data	No_data	No_data		27063004	polyA RNA	PAIRED	96761193			обрезать до 80 bp	5.75	a_zotova	ok	250621 checked	1716	1082	2799	2798													Endothelium		
SRR3096875	SRX1527122	GSE76743	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	HUVEC		Hour_24_of_hypoxia	Without_therapy	Without_modification	Healthy	GSM2037125			Blood_vessel	TRIzol™ Reagent (Invitrogen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		No_data	No_data	No_data		27063004	polyA RNA	PAIRED	61318960			обрезать до 80 bp	5.75	a_zotova	ok	250621 checked	1713	1079	2793	2792													Endothelium		
SRR3096876	SRX1527123	GSE76743	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	HUVEC		Hour_48_of_hypoxia	Without_therapy	Without_modification	Healthy	GSM2037126			Blood_vessel	TRIzol™ Reagent (Invitrogen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		No_data	No_data	No_data		27063004	polyA RNA	PAIRED	58024667			ok	6.25	a_zotova	ok	250621 checked	1717	1083	2801	2800													Endothelium		
SRR3096877	SRX1527124	GSE76743	Cells	Hypoxia	Endothelium_hypoxic	Endothelium	HUVEC		Hour_48_of_hypoxia	Without_therapy	Without_modification	Healthy	GSM2037127			Blood_vessel	TRIzol™ Reagent (Invitrogen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		No_data	No_data	No_data		27063004	polyA RNA	PAIRED	53740735			ok	6.25	a_zotova	ok	250621 checked	1719	1085	2805	2804													Endothelium		
SRR3096878	SRX1527125	GSE76743	Cells	Control	Endothelium	Endothelium	HUVEC		Without_stimulation	Without_therapy	Without_modification	Healthy	GSM2037128			Blood_vessel	TRIzol™ Reagent (Invitrogen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		No_data	No_data	No_data		27063004	polyA RNA	PAIRED	64916557			ok	6.5	a_zotova	ok	250621 checked	1715	1081	2797	2796													Endothelium		
SRR3096879	SRX1527126	GSE76743	Cells	Control	Endothelium	Endothelium	HUVEC		Without_stimulation	Without_therapy	Without_modification	Healthy	GSM2037129			Blood_vessel	TRIzol™ Reagent (Invitrogen)	TruSeq Stranded Total RNA Library kit (Illumina, San Diego, CA, USA)		No_data	No_data	No_data		27063004	polyA RNA	PAIRED	61177219			ok	6.5	a_zotova	ok	250621 checked	1714	1080	2795	2794													Endothelium		
SRR5679917	SRX2915409	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 24h					GSM2667006												polyA RNA	PAIRED	12206569				6.75	ddyikanov	good	281221	7475	4754	12230	12228													Macrophages		
SRR5679918	SRX2915409	GSE99987	Cells	Control	Macrophages	Macrophages	Monocyte-derived macrophages	Macrophage in Normoxia 24h					GSM2667006												polyA RNA	PAIRED	12152923				6.75	ddyikanov	good	281221	7476	4754	12231	12228													Macrophages		
