	percentage	ssgsea_score_STD	Case
0	0	0.8297264605925345	RS0164
1	1	0.8065227666057888	RS0164
2	2	0.6829938217407687	RS0164
3	3	0.6940549993543065	RS0164
4	4	0.6437709204427857	RS0164
5	5	0.6722641020538314	RS0164
6	6	0.4192079321934691	RS0164
7	7	0.5894568590023144	RS0164
8	8	0.6589745870166361	RS0164
9	9	0.47509991972818116	RS0164
10	10	0.516189039851001	RS0164
11	11	0.457650933044034	RS0164
12	12	0.5851322084913073	RS0164
13	13	0.6385540790007525	RS0164
14	14	0.7925810493113592	RS0164
15	15	0.35883478189086987	RS0164
16	16	0.3678148849041608	RS0164
17	17	0.371013319709136	RS0164
18	18	0.34672273573183976	RS0164
19	19	0.3819287270602727	RS0164
20	20	0.4600753917635244	RS0164
21	21	0.34408997515098366	RS0164
22	22	0.3286372005839877	RS0164
23	23	0.29069621109304256	RS0164
24	24	0.29443548040738815	RS0164
25	25	0.431536595434355	RS0164
26	26	0.3303683371541258	RS0164
27	27	0.3179675543260427	RS0164
28	28	0.3322303144914448	RS0164
29	29	0.5979568940309713	RS0164
30	30	0.32149377454020517	RS0164
31	31	0.5349343052773029	RS0164
32	32	0.4602056745905842	RS0164
33	33	0.38447948617491234	RS0164
34	34	0.3927064280882865	RS0164
35	35	0.6097142983987152	RS0164
36	36	0.3474001118182687	RS0164
37	37	0.5947934109166563	RS0164
38	38	0.3568750603151591	RS0164
39	39	0.45618482348289213	RS0164
40	40	0.38052488703885207	RS0164
41	41	0.3770064693531192	RS0164
42	42	0.5566310071834308	RS0164
43	43	0.5290810023171784	RS0164
44	44	0.41541643121801947	RS0164
45	45	0.560123973875083	RS0164
46	46	0.6309895174432819	RS0164
47	47	0.6649962166265808	RS0164
48	48	0.539393782231782	RS0164
49	49	0.42619423367241005	RS0164
50	50	0.5294012793869081	RS0164
51	51	0.42152605573133023	RS0164
52	52	0.5388813106542921	RS0164
53	53	0.5472966778101988	RS0164
54	54	0.6093704805586188	RS0164
55	55	0.6585117943851221	RS0164
56	56	0.7453676447733534	RS0164
57	57	0.483228852038083	RS0164
58	58	0.7449601837392886	RS0164
59	59	0.6632575970371124	RS0164
60	60	0.694378177389398	RS0164
61	61	0.6476661641241518	RS0164
62	62	0.7696879138088708	RS0164
63	63	0.4891422800335907	RS0164
64	64	0.7677882533756463	RS0164
65	65	1.192370455476858	RS0164
66	66	0.8126836549610156	RS0164
67	67	0.847826004271502	RS0164
68	68	0.8870901759154542	RS0164
69	69	0.918963432822471	RS0164
70	70	0.7894309219891965	RS0164
71	71	0.7559959470536143	RS0164
72	72	0.8642521542407233	RS0164
73	73	0.8479765006892425	RS0164
74	74	0.7267447402662238	RS0164
75	75	0.7919424482951735	RS0164
76	76	0.697136895775866	RS0164
77	77	0.7584037345409064	RS0164
78	78	0.7289898143860446	RS0164
79	79	0.8377744757096014	RS0164
80	80	0.6727947876261238	RS0164
81	81	0.8411730227087192	RS0164
82	82	0.7913757956347339	RS0164
83	83	0.9613725780917627	RS0164
84	84	0.788831648746729	RS0164
85	85	1.1552498746986115	RS0164
86	86	0.8575859112758394	RS0164
87	87	0.942716745426176	RS0164
88	88	0.7655646330474337	RS0164
89	89	0.8744576285918017	RS0164
90	90	0.8127883044629475	RS0164
91	91	0.9250238518207334	RS0164
92	92	0.8779742036924901	RS0164
93	93	0.9489708689776697	RS0164
94	94	0.8388940181245217	RS0164
95	95	0.8397519724629487	RS0164
96	96	0.8084850930875738	RS0164
97	97	0.9848101439220726	RS0164
98	98	0.7773055801289035	RS0164
99	0	3.167261889985096	RS0167
100	1	3.151173666013741	RS0167
101	2	2.9040935307644573	RS0167
102	3	2.789316867339566	RS0167
103	4	2.7308586680319413	RS0167
104	5	2.872408965367477	RS0167
105	6	2.221417421257575	RS0167
106	7	2.0638015775495875	RS0167
107	8	2.1130794690257066	RS0167
108	9	2.016690078291667	RS0167
109	10	2.0485320802676092	RS0167
110	11	1.9999331870419708	RS0167
111	12	2.030199497085407	RS0167
112	13	1.6850081949264946	RS0167
113	14	1.8099988938750384	RS0167
114	15	1.847906811562831	RS0167
115	16	1.8148647250364338	RS0167
116	17	1.7901043417779365	RS0167
117	18	1.7550935271608696	RS0167
118	19	1.6692384132884528	RS0167
119	20	1.7193937968274549	RS0167
120	21	1.6123872723419383	RS0167
121	22	1.4943517274419236	RS0167
122	23	1.530392980913861	RS0167
123	24	1.7495278629766826	RS0167
124	25	1.4999804649588275	RS0167
125	26	1.7289060022220348	RS0167
126	27	1.6124476686191314	RS0167
127	28	1.6064809506343196	RS0167
128	29	1.41593361596563	RS0167
129	30	1.458468128796588	RS0167
130	31	1.5892432398642988	RS0167
131	32	1.5987231903621026	RS0167
132	33	1.56889221221423	RS0167
133	34	1.684998400122312	RS0167
134	35	2.000938837365585	RS0167
135	36	1.8107920676954095	RS0167
136	37	1.8530356598922797	RS0167
137	38	1.7102269218501316	RS0167
138	39	1.7475968532378559	RS0167
139	40	1.6981784311607042	RS0167
140	41	1.9392296540562053	RS0167
141	42	1.9482499943594673	RS0167
142	43	2.1527329907335755	RS0167
143	44	2.0737723851281835	RS0167
144	45	1.7963931707982654	RS0167
145	46	2.3124305581367883	RS0167
146	47	2.235335485928675	RS0167
147	48	1.9224453972505435	RS0167
148	49	1.9769779344970204	RS0167
149	50	2.3123780270923504	RS0167
150	51	2.0836374752220963	RS0167
151	52	2.4098459497538154	RS0167
152	53	2.492993487731652	RS0167
153	54	2.543792460602789	RS0167
154	55	2.5260766332291453	RS0167
155	56	2.784876020419178	RS0167
156	57	2.3565421558976714	RS0167
157	58	2.5363336847472806	RS0167
158	59	2.7254245926217173	RS0167
159	60	2.4107524284927004	RS0167
160	61	2.7160296157066375	RS0167
161	62	2.8775221853649766	RS0167
162	63	2.251423740457211	RS0167
163	64	2.8122889832411966	RS0167
164	65	3.228759751272708	RS0167
165	66	2.8387797069750103	RS0167
166	67	2.6923458548556463	RS0167
