	Supposed_GOI	FGES_source	Genes	Link
Main4_Th1_signature	Th1 cells	Other	CXCR3, CD4, CD40LG, IFNG, TBX21	Other
GSE3982_NEUTROPHIL_VS_TH1_DN	Th1 cells	MSigDb_Dif_Expression	PEX14, GPN1, XCR1, CKAP2, TTC4, ADRM1, IRF4, NKAPD1, LRIG1, FKBP11, NHP2, ZZZ3, GLS, VGLL4, NIP7, AIMP2, HTATSF1, C17orf75, HDAC2, UNC119B, SUPV3L1, ZC3H14, JHY, RGS10, CA5BP1, UTP18, NEK2, TOMM22, EEF1B2, FADD, ESD, MPG, PINLYP, DDX18, CKS2, RUSC1, DPAGT1, CTNNBL1, DDX52, ZNF32, APOD, ILRUN, SERBP1, ZW10, RIOX2, REXO2, EED, ERCC2, TMEM208, XPO1, SYNGR3, KIFC1, MTO1, SIRPG, FANCE, CD200, TRIM44, LNPEP, RARS1, GNL2, HSPE1, NAA38, HDHD5, IL10, ATP2A2, MRPL4, ENTREP3, TGM5, USP47, NOC3L, MORC2, EIF3F, PAAF1, C11orf58, MGST3, NDUFA8, PSMD7, RCN1, PSMA2, PASK, BRCA1, STARD5, PRPS2, ZDHHC4, STK25, NEIL3, ANKRD55, SLAMF1, NAT10, FOXM1, HMGCS1, CPT1A, UBE3C, RUVBL1, MEAK7, USP16, TUBB6, QRSL1, ABRAXAS2, SSB, ZNF395, ABCF2, TMA16, DAG1, RPA3, FAM136A, MANF, DPM3, IMP3, BORA, WEE1, PAFAH1B3, PUS7, PHLDA1, PMS2P5, GRSF1, TDP1, KNOP1, GTF3A, BFAR, NDUFA9, RCAN1, GTF2A2, SNRNP27, PSMB2, MRPL49, HAX1, NUDC, NENF, SEH1L, SRP9, TOP3B, TMEM214, CD151, HMGB3P1, DDOST, NOL12, OSBPL3, ODC1, ELOVL6, SPSB1, CKS1B, CD81, DERA, COPS7B, C3orf14, SUPT3H, ESYT1, ARL6IP4, LYRM2, C1orf109, PSMA4, RPS4X, METAP2, RITA1, UBE2V2, AKIP1, ILKAP, RANGAP1, R3HDM1, PTTG1, INSM1, RRP7A, HELLS, TRAF1, STARD7, HEXA, MYC, CBFB, SDF2L1, SRI, TUBGCP2, MRM2, MAL, INTS7, TUBB3, EEF1E1, AKAP1, CUL2, RABGGTB, RPL8, LMNB2, DTWD1, NMT1, CSTPP1, DGCR8, DIO1, NUCKS1, ATXN3, AHI1, MAP3K4, MRPL34, MLLT11, ROBO1, NUAK1, GFI1, PFAS, NCL, POLG	MSigDb_Dif_Expression
GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH1_DN	Th1 cells	MSigDb_Dif_Expression	DFFA, NOLC1, C1D, PPP1R8, NDUFS3, IRF4, TGS1, ERCC1, ACTL6A, EOLA1, DNA2, PSMA3, SEC24D, TOR1A, PSMD14, DIABLO, ETNK1, RFC3, DHDDS, NUP153, FAR2, GTF2H1, CCR5, ERAL1, UCHL1, XPOT, GABPB1, TFRC, ENOPH1, MED27, ST8SIA4, FEN1, TPI1, CCT7, DDX18, CSNK2A1, COL6A3, STOML2, BATF3, DPAGT1, BAZ1B, SLC25A44, MTHFD1, ZKSCAN4, SLC25A17, RANBP1, CCDC51, LAG3, MAD2L1, PSMA1, RACGAP1, MRPL19, PSMD1, SART3, RBM28, ERGIC2, GTPBP8, RMI1, ARSB, HPRT1, P4HA2, PICALM, SHMT2, CISH, IGFLR1, NT5DC3, CCT8, AGO2, SLC25A32, CHAF1A, VDR, MRPL33, HSPE1, CHAF1B, IVD, CSTF1, ATOX1, CDC20, TRAPPC2L, CCT2, RTCB, STRAP, ATP2A2, AHSA1, ATP8B4, WDR18, EIF2B3, SLC5A3, FOCAD, CCNE1, HIGD1A, PRC1, EIF2S1, GCN1, DVL3, SNRNP40, MTCH2, NT5DC2, SDF2, DAG1, BLTP3B, PHLPP2, MCM7, CLUH, ESRRA, TOR4A, FAH, IER3, CDC7, MRPL15, PRPF4, ZNF593, GTF2A2, MLH1, SFXN1, ACSL3, MCTP2, CHD4, TMEM147, RFC4, OGFOD1, HMBS, SAMM50, CCT6A, MYG1, TBRG4, ELOVL6, TYMS, TMEM165, MYCBP, TMEM33, CCDC86, MRPL23, CACYBP, CSF2, RNF34, PDCD6, PSMD11, POLR3K, DDX10, MRPL22, GLRX2, H2BC12L, PDIA5, GOT1, SAC3D1, LIMA1, RANGAP1, ABCF1, SDC4, SLCO4A1, RBM23, NARS1, SUPT16H, PLAA, MAMLD1, DUSP14, NDUFAB1, RAN, PLAGL2, PSMC2, U2AF1, NDUFV2, CMAHP, SNRPE, NSDHL, PCNA, CCNB1, FIP1L1, RAD50, CSTF2, UMPS, ELAVL1, EEF1E1, BMS1, UCHL3, GMNN, GNG4, KHSRP, SLC2A1, COX17, FASTKD3, BET1, IMPDH2, PREP, CAMK1, KIF3A, TMCO1, KCNN4, ERLIN1, E2F6, SEPHS1, EIF2S2, FXN, HMGCR, BAG2, COX7B, ALDOA, RAD51	MSigDb_Dif_Expression
GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_DN	Th1 cells	MSigDb_Dif_Expression	MT1E, TRIP12, COX8A, ERI2, NDUFS3, ERCC1, BIRC3, MYL6B, GOLT1B, PSMD14, SMC4, DIABLO, GIGYF2, PITPNB, RFC3, HTATIP2, FAR2, RUVBL2, ERAL1, ELL2, GGH, MSMO1, MTCH2, ALDH18A1, MRPL17, GABPB1, FADD, WRAP53, SNRPD1, IMMT, PSMD8, CNOT6, TPI1, PSMB3, CTPS1, PKMYT1, CDK7, HMGB2, DPAGT1, EDC3, EIF4G1, NDUFS1, CCDC51, EXO1, PIMREG, HNRNPA2B1, RACGAP1, ARFIP1, MED7, PSMA1, PSMD1, NUP107, P4HA2, NUP62, PSMA6, GPR19, UBE2I, FKBPL, VDR, POLE, LSM3, GINS2, PARK7, ATOX1, KCTD5, H2AX, MACIR, RTCB, CCNB2, ATP2A2, ETFA, USP1, CPOX, TARDBP, HTRA2, PSMB8, BMAL2, CENPC, EIF2B2, PSMG2, CDK2, GALK1, RIT1, GGCT, POP4, FOCAD, HIGD1A, MCM3, BCL2L1, EIF2S1, IDH1, MRPL18, PDHA1, CTNNAL1, CENPU, PRDX3, TUBB6, NDUFB3, PFKP, CMAS, MNAT1, CYC1, ORC6, MTHFD2, SLC35F2, PPIA, H2AZ1, MRPL58, NDUFV1, SGCB, TUBB, MRPL35, BATF, YWHAE, RRM1, MCAT, FAH, GNPAT, ZNF593, CHCHD2, GTF2A2, ATP5PB, STIP1, ATG101, BUB1, MRPL13, UBE2S, PNP, HMBS, ASF1A, HSPB11, PELO, KNTC1, LSM4, STAMBP, SNX5, CKS1B, KLHL5, PRDX1, KIFBP, KDM4D, SLIRP, MFAP1, RNF34, ENY2, PSMA4, MRPL22, GLRX2, SNRPD3, TBC1D10B, RAD51, EID1, ZWINT, COX6A1, ENPP2, MPDU1, ARPC5, PSMD2, SDC4, ITGAE, SLCO4A1, HAT1, H3C8, GARS1, CIAO2B, STARD7, DONSON, EIF3I, CCNF, PSMC2, SNRPA1, U2AF1, POLR2E, SNRPE, MICAL2, CSTF2, HSPA9, PPP1R10, ELAVL1, GMNN, COX17, COPS4, FASTKD3, KLHL7, GCNT1, CAPRIN1, THYN1, TMCO1, ERLIN1, CLDND1, SMTN, CYP1B1, SEPHS1, MCM5, ACOT7, DCPS, SNRPB, NDUFAF3, UQCRH	MSigDb_Dif_Expression
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_UP	Th1 cells	MSigDb_Dif_Expression	CAVIN4, CDK20, POLD4, MAPK14, NEDD4L, DGKE, FRS2, PARD3B, BRF1, LEF1, GJC2, SNAPC3, SMAD7, FAM183BP, SMC4, SLC26A7, S1PR1, CHD7, PTPRC, TRIM40, RDH12, CASP8, DDX46, RSF1, FMN1, ARHGEF18, HACE1, MAGEE1, TCF7, MAP3K7, KCTD11, CRIM1, ELL, PPM1H, SYNGR4, GIMAP6, VTI1A, RCSD1, TMEM168, STT3B, TAF5L, GIMAP3P, ELOVL5, LARS2, SLC25A41, CAST, INPP4B, PLCL2, HECTD1, GNAI2, AGPS, ZNRF1, PLCXD2, PRKACB, SLC17A8, PPP6R3, RBM28, ATP1B3, TECPR1, LONRF3, TNKS, FNDC8, IL2RB, PHIP, LYPD6B, MED13, TMEM59, TAX1BP1, ARMC2, PREX1, LCK, BRMS1, JAK1, ABI1, LRRIQ1, ATP6V0E2, YPEL3, GRAP2, SPICE1, ZEB1, SELL, STK38, PITPNM1, FHIP1B, BCL11B, INPP5K, PLA2G3, TOM1, PIM1, MYH9, MYADML2, SENP2, PTPN22, ILK, PRKCQ, ZNF394, TSPAN13, TOP2B, ADD3, CORO1A, FCHO2, CREBZF, SENP7, TSEN15, ACBD3, ZFAND3, ARHGAP9, ITSN2, LRRC61, FAM133B, SEPTIN6, YTHDF1, GARIN1A, TMEM63A, IPCEF1, STAT4, CCDC126, MLLT10, PAIP1, PAN3, RANBP9, ERBIN, OLFML3, DHRS7C, TBC1D23, RAD51D, DDX5, DDX6, TMEM30B, TXNIP, CHD1, MIER1, SSH2, ITCH, PTBP2, CSNK1G2, RNF25, CYTIP, TAOK1, CD9, ABLIM1, EXT1, ZC3HAV1, PPP6R2, FAM78A, LRRC43, ELMOD3, WDR33, MYBPC3, FBXO22, ABCB9, NR3C1, PELI1, TRAF1, ADSS2, HLCS, SIPA1L1, ARHGAP4, XPR1, UNKL, RFX3, SLC27A2, RAB11FIP1, SORL1, CUL3, FGGY, LASP1, DGKA, IREB2, PECAM1, ATAD2B, RIPOR2, CILK1, IFT80	MSigDb_Dif_Expression
GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_UP	Th1 cells	MSigDb_Dif_Expression	ERH, NAA50, SOCS3, PUS10, C7orf50, MYO19, C15orf48, DDX31, UTP4, BIRC3, CCNB1IP1, ZNF639, ATF3, PDAP1, ADGRL3, INTS4, POLDIP2, GEMIN4, GLS, ZZZ3, RSL24D1, AIMP2, RUVBL2, IFRD2, FUT8, RHBDL3, WDR5, PELP1, SUPV3L1, SPOUT1, PUS7L, SRM, SLC1A4, WDR55, PDCD1LG2, MLLT1, MFHAS1, MAFG, AGFG1, POLR3D, TADA2A, IRGM, RBM17, BCL2A1, PSMD8, ZNF207, PCGF6, C12orf73, CTPS1, DDX18, ARL5A, STOML2, RABL6, CDK5R1, UTP6, NFKBIB, SLC7A6, NOP9, SCARB1, NUS1, NOL11, PPP5C, CLIP1, HOMER1, HPRT1, GPS1, SLC9A8, TRIM44, HSP90AA1, SMYD5, PHIP, BCCIP, MTOR, LSM12, KSR1, MRPS2, ST6GALNAC4, CPSF4, IL10, TSEN54, ATIC, PNPT1, NOC3L, FOXRED2, WDR18, EIF2B3, HMGA1, SNUPN, C5orf22, PPAT, HEATR3, NCF1, SRFBP1, WDR4, BRIX1, NAT10, SF3B3, ID1, PRR3, SLC16A1, ZC3H12A, PTPMT1, RUVBL1, PLXNC1, ABCF2, DNAJC2, TMA16, TAP1, IDH3A, CHAMP1, WIZ, ANKRD40, PTCD3, MAK16, AATF, LUC7L, IL2RA, ZNF770, THOP1, B4GALT5, NLE1, EPOP, PSMB2, EIF1AY, PXN, TBL1X, MTRR, SLC25A1, IL15RA, CD44, CCDC6, WDR36, TMEM39A, UTP14A, CCT6A, IFNLR1, C9orf72, TRNAU1AP, CPNE3, TMEM165, SELENOI, SELENOS, SLC25A33, CST11, CACYBP, RABGGTA, TMEM184B, RIOX1, SIAH2, HNF1B, IL6, SERPINB9, ECE2, TSEN2, GMEB2, EBI3, POLR1F, TRMT6, NSUN2, KCTD13, HACD3, POP1, CD40, RRP7A, PDF, PGS1, ARFRP1, PLBD2, RAP1B, ATXN7L3, HSPD1, DDX56, ICAM1, SRSF6, URB2, UMPS, ELAVL1, CEP83, CXCL10, TMEM238, CUL2, LMNB2, RCL1, RWDD4, NAA25, RHEBL1, RRP9, NFKB2, GBP6, RBM15B, ETF1, ANKRD28, GRWD1, PECAM1, EIF4E, EIF2S2, TBL3, IL2, CFLAR, PUS1	MSigDb_Dif_Expression
GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_UP	Th1 cells	MSigDb_Dif_Expression	ERH, NAA50, ERO1A, HCCS, HILPDA, C7orf50, MYO19, UTP4, GLA, CCNB1IP1, PDAP1, RBM34, PSMB7, FNBP1, BTG3, CCDC141, RSL24D1, NCS1, AIMP2, RUVBL2, RENBP, SH2D2A, IFRD2, SLC25A22, NUDCD3, CCDC137, SMAD3, RGS16, RDH11, VEGFC, ZC3H15, IL1R2, PDCD1LG2, SRM, WDR55, AMZ1, MLLT1, PPP6C, TLCD3A, MAFG, UTP18, AGFG1, POLR3D, CHST11, XPOT, UQCRQ, ANKRD13B, PSMD8, NFATC1, SNRPD1, EIF5B, DDX18, SNAI3, RRP8, NFX1, CDK5R1, UTP6, CDC34, GMFB, FOXK2, SLC7A6, G3BP1, SCARB1, NUS1, NOP9, ADM, SLC7A1, IGF2R, TIMM8A, IRS2, HOMER1, HPRT1, WDR77, IDE, HSP90AA1, ATP1B3, ZNHIT6, PAFAH1B2, RCC1L, PLXND1, EXOC2, SLC25A32, SF3B4, ST6GALNAC4, HSPE1, SEPTIN2, ENTPD6, LCK, UBA6, SLC16A13, FOXRED2, WDR18, EIF2B3, DUSP4, SNUPN, POP5, PPAT, RCN1, HEATR3, BEX3, SRFBP1, EIF2S1, IFIT2, PLEKHF2, PRR3, SLC16A1, PFKP, FABP5, MTCH2, BEX1, MAP2K3, CHAMP1, MAT2A, U2SURP, MAK16, PMP22, THOP1, AK7, B4GALT5, ALCAM, IARS1, NLE1, EPOP, NUP205, ALG3, PLEK, HSPH1, ISYNA1, SLC25A1, EYA3, MTRR, LGALS3BP, WDR36, SLC15A3, ERAP1, PPIF, DNAJA2, MYO1E, CCT6A, MFSD5, ODC1, FASN, IFIH1, SELENOI, RAVER1, TRA2B, NRGN, S1PR3, ORC2, AHR, CACYBP, SRPRA, TMEM184B, UQCRFS1, RIOX1, MIOS, FTSJ3, SPRYD7, SERPINB9, ECE2, GTPBP4, XCL1, LZTFL1, RPS6KA2, EGR2, ARFRP1, MAFF, USP36, CIART, FOSL1, RAP1B, ATXN7L3, HSPD1, HSPA9, LTA4H, MYDGF, SRSF6, URB2, PRPS1, UMPS, GRHL1, CEP83, AKAP1, ZC3H12C, KLF16, OSGIN2, RCL1, SLC25A6, EME2, CDV3, EPRS1, RRP9, RBM15B, ETF1, YWHAG, EIF4E, WDR3, RCC1, CFLAR, KTI12	MSigDb_Dif_Expression
GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP	Th1 cells	MSigDb_Dif_Expression	ERH, PPP3CC, MIS18A, RFC5, ENTPD7, CHGA, RFC2, NUCB1, VIM, TTC30A, PDAP1, IFT43, PPP1R7, NUF2, MCM10, NCAPH2, NUTF2, UBE2V1, APIP, AJUBA, CHSY1, NSD2, GZMK, FH, PACRGL, MRE11, CENPE, RAB19, KIF23, KIF2A, SKA2, GINS1, BLMH, TPI1, SGO2, PDK3, SNRNP35, CBR4, LAMP2, SMDT1, CDK4, MRPS11, SAR1B, IQGAP3, GRIN2A, INO80E, SCARB1, ASPM, TXN2, GPI, UFSP2, KCNK5, CLSPN, PSMD1, ECT2, HPRT1, WASHC5, ANLN, TXNDC17, HEMK1, FNDC3B, FIGNL1, ORMDL2, CRYBG2, POLE, NELFCD, EMC7, PSMB1, IDH3B, ZNF518B, AP2M1, RNASEH2B, BMPR1A, HPS6, SAE1, FBXW8, TUFM, DDT, TNFRSF8, HADH, CDCA7L, GTF2F2, CNTLN, CNIH1, DARS1, HINT1, GALK1, PSMA2, TNFSF9, SEC13, PASK, GLOD4, BRCA1, VWA5A, VDAC1, TG, NUP93, TKT, UBR7, EI24, EIF4H, CSNK2B, MRPL18, LSM2, FBXO5, GNG2, GMDS, PFKP, DNAJC9, SNF8, LRWD1, DNAJC2, ITGAL, UMAD1, GSTT2, ETFB, CCL5, THOP1, BAK1, UFC1, CDCA2, RYK, TRAPPC1, GTF3A, NAA10, AP2S1, LETM1, CTC1, PPFIBP1, FBLN1, GTF2H5, MTHFD1L, RPE, ELOVL1, AAAS, COPS3, DRG1, ATPAF2, HDAC3, AARSD1, MX2, SEPTIN11, DEPDC1B, TM4SF5, SYNPO, IL4, SLC25A20, BRI3BP, FAM216A, FAR1, MRPL45, PSMA4, SNRNP25, LRRC40, SNHG32, SERF1A, RBBP7, HSD17B12, CENPS, POGLUT3, EME1, GALE, ABCB9, CAV3, NAP1L1, ITPR1, RPS27L, WSB2, LUZP1, MRPS16, GNG3, EIF5A2, APAF1, FGL2, TACC3, CYSLTR2, RAD51AP1, MRPS18C, CRELD2, MYDGF, DOK1, KNSTRN, PDLIM2, STMN1, COX17, DTL, SLC25A6, CKAP2L, PIDD1, UCHL5, KIF3A, SLC31A1, TRIM37, GRIA4, ATP5MC3, CAD, GNPDA1, FBXO44, NRM, DDX1	MSigDb_Dif_Expression
GSE14308_TH1_VS_NAIVE_CD4_TCELL_UP	Th1 cells	MSigDb_Dif_Expression	FAM111A, TEDC1, OTOS, HRH2, MPHOSPH6, C19orf25, DGCR6, PLD4, AIP, PPP1R15B, MBOAT1, SLC24A3, SERPINF1, DNAJC3, ATP5MK, PITPNB, MRPL51, ECI1, PARVG, IMMP2L, RSL24D1, RUVBL2, SDR39U1, WDR62, APIP, HELB, SLC36A4, B2M, PTPN4, ITGB3BP, OSBPL5, UCHL1, GADD45B, ANTKMT, FDXR, ARHGEF10, ZYX, SSU72, MAPK13, DPP7, CACNB4, PRKCSH, DHDH, NUPR1, CASP4, ZC2HC1A, POLR2F, DRC3, HDHD3, TNFRSF1B, SPRY2, FAM172A, EMC2, PSMA1, IRS2, BHLHE40, ARPC1A, TXNDC17, CCT8, CISD3, AIFM1, COPS5, PXMP2, BCAS3, RETSAT, NAA38, COMMD5, AKR1B15, ADARB1, MACIR, HCLS1, TBPL1, YME1L1, USP47, C6orf118, NDUFA13, CNIH1, ACTG1, CCNC, ZBTB7A, MYO15B, VAMP4, FOCAD, SEPTIN9, ERN1, APOBR, ATRAID, C11orf54, CSNK2B, MRPS15, ULK2, ATG4B, PTTG1IP, WARS1, CAT, SNX2, POLR3C, YIPF1, PPIA, LYAR, MRPL48, KIFAP3, NSMCE2, NR1H2, DBR1, YAF2, FAM204A, CST3, NKAIN2, SGCB, CSF2RA, RWDD1, HJURP, SPIDR, HARBI1, FLOT1, SRSF10, RBM8A, MBD1, NDUFA9, PSMB2, ANO10, TRIM45, GATAD1, LARP1, BLOC1S5, MRPL1, BORCS7, TTC9C, RAB5A, NDE1, ABCA8, PCYT1A, AARSD1, MYO1E, ZFP62, RAD51D, GRAMD1B, TRIM46, BRI3, CEP83-DT, ANAPC2, FAM216A, TNP1, PBDC1, TMEM143, SUB1, LRRC59, USP5, PLXNB3, CNOT11, HSD17B12, INTS8, AKIP1, CUZD1, WDR45, NDUFS5, GALE, GINS4, RPAP2, GMPR2, MIB1, WBP11, LUZP1, OGFRL1, AEBP2, LONP1, RRS1, NSMF, SNRPA1, TMEM241, DCUN1D1, PSMB4, PCNA, GRIK4, METTL5, SMYD3, TENT4A, UNC93B1, MPV17L2, TST, COX17, C11orf1, BET1, WDR91, EID2, RHEBL1, BAX, PGRMC2, MRPL34, PDZD11, FAM174A, PRDM5, LMAN1, BIK, RILPL1, KIF18A, CUL4A, TUBG1, HUS1	MSigDb_Dif_Expression
GSE43863_TH1_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP	Th1 cells	MSigDb_Dif_Expression	VPS36, MRPL54, CKAP2, AARS1, DGCR6, DNMT1, PLK4, HAUS4, SLC37A2, MRPL20, PDAP1, KIF11, C18orf21, DNAJC3, SHCBP1, PPP1R7, NUF2, SDR39U1, NCAPH2, UBE2V1, ARPC4, UHRF1, NOL7, ENO1, CHSY1, HPSE, PDCD1LG2, CHTF18, STIL, MRE11, RAB19, EIF2B5, MRPL11, UQCRQ, TIMM22, BCL2A1, BLMH, TIMM23, LYSMD2, THOC3, CDK4, CDC34, HPF1, FKBP1A, PPP2R3C, MKI67, CCNA2, ZCCHC3, GMPPA, LAG3, GPI, PPP5C, APOO, POLD3, PSMD1, CENPH, LRR1, TBC1D4, WASHC5, PRORP, MRPL33, PLK1, TIMP2, GTSE1, CRYBG2, RFWD3, MED8, RAD54L, ASF1B, CHAF1B, OXGR1, ZNF518B, H2AX, AP2M1, RNASEH2B, SAE1, BLM, ODR4, COX7A2, USP1, FAM98B, PTPN3, CNTROB, TNFRSF8, GTF2F2, CNTLN, PSMD13, SLC25A4, MAST2, NDUFA8, GALK1, PSMA2, PRMT6, TP53I13, PASK, CCNE1, TMEM160, ASNSD1, EI24, H1-0, MRPL18, CENPF, GMDS, TOP2A, TMED1, CHEK2, SNF8, LRWD1, DNAJC2, WDR90, PABPC1, ARL1, MZT2B, TOMM40, ITGAL, PRELID3B, ENKD1, ETFB, CYB5R3, RRM1, ALCAM, TTC39C, RYK, CTC1, PLCB4, MRPL57, PPFIBP1, PXN, MTRES1, MED9, DPCD, MTHFD1L, GRN, NEK6, UBE2S, PENK, KIF22, COPS3, TPX2, ATPAF2, EIF1AX, SEPTIN11, CST7, EXOSC2, ITPK1, LITAF, FBXO27, RAVER1, ANXA2, ORC2, SSR2, LRRC40, SPCS3, AKIP1, CENPS, EBI3, TSPAN2, POGLUT3, PTTG1, EME1, ABCB9, SLCO4A1, C11orf71, LZTFL1, PALS2, DPP3, CAV3, TRAPPC5, NDUFB2, TINF2, HMGB3, PNO1, CHEK1, DHRS4, RRM2, ESPL1, IFNG, COPZ1, CDKN2C, ANAPC15, COPS4, IMPDH2, PIDD1, UCHL5, KIF3A, SKA1, SLC12A2, MYL4, R3HCC1, SMTN, ICOS, ATP5MC3, ZNHIT1, NCAPG, LCMT1, ACAA2, NRM, ALDOA, RAD51, DDX1	MSigDb_Dif_Expression
